"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TTI","Tetra Technologies, Inc.","1.84","$231.07M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tti",
"TEVA","Teva Pharmaceutical Industries Limited","8.1","$8.84B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/teva",
"TPL","Texas Pacific Land Trust","638.4","$4.95B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tpl",
"TGH","Textainer Group Holdings Limited","9.65","$548.54M","2007","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/tgh",
"TXT","Textron Inc.","46.93","$10.71B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/txt",
"AES","The AES Corporation","17.68","$11.74B","n/a","Basic Industries","Electric Utilities: Central","https://old.nasdaq.com/symbol/aes",
"BX","The Blackstone Group Inc.","52.04","$62.45B","2007","Finance","Investment Managers","https://old.nasdaq.com/symbol/bx",
"CEE","The Central and Eastern Europe Fund, Inc.","28.2515","$193.31M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cee",
"SCHW","The Charles Schwab Corporation","43.08","$56.31B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/schw",
"SCHW^C","The Charles Schwab Corporation","26.78","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/schw^c",
"SCHW^D","The Charles Schwab Corporation","26.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/schw^d",
"COO","The Cooper Companies, Inc. ","291.49","$14.45B","n/a","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/coo",
"GDV","The Gabelli Dividend & Income Trust","20.94","$1.73B","2003","n/a","n/a","https://old.nasdaq.com/symbol/gdv",
"GDV^A","The Gabelli Dividend & Income Trust","26.13","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^a",
"GDV^D","The Gabelli Dividend & Income Trust","26.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^d",
"GDV^G","The Gabelli Dividend & Income Trust","25.94","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^g",
"GDV^H","The Gabelli Dividend & Income Trust","26.5037","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv^h",
"GDV~","The Gabelli Dividend & Income Trust","0.07","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdv~",
"GRX","The Gabelli Healthcare & Wellness Trust","10.52","$195.08M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grx",
"GRX^A","The Gabelli Healthcare & Wellness Trust","26.1252","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grx^a",
"GRX^B","The Gabelli Healthcare & Wellness Trust","26.2054","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grx^b",
"GDL","The GDL Fund","9.2367","$149.31M","2007","n/a","n/a","https://old.nasdaq.com/symbol/gdl",
"GDL^C","The GDL Fund","51.1977","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gdl^c",
"THG","The Hanover Insurance Group, Inc.","133.31","$5.27B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/thg",
"THGA","The Hanover Insurance Group, Inc.","25.71","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/thga",
"MSG","The Madison Square Garden Company","275.72","$6.55B","2015","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/msg",
"RUBI","The Rubicon Project, Inc.","8.5","$450.42M","2014","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/rubi",
"TRV","The Travelers Companies, Inc.","132.35","$34.46B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/trv",
"VAM","The Vivaldi Opportunities Fund","13.63","$77.64M","2018","n/a","n/a","https://old.nasdaq.com/symbol/vam",
"TMO","Thermo Fisher Scientific Inc","294.57","$118.12B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/tmo",
"THR","Thermon Group Holdings, Inc.","27.22","$890.88M","2011","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/thr",
"TPRE","Third Point Reinsurance Ltd.","9.55","$898.05M","2013","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/tpre",
"TSLF","THL Credit Senior Loan Fund","14.45","$107.2M","2013","n/a","n/a","https://old.nasdaq.com/symbol/tslf",
"TCRW","THL Credit, Inc.","26.3","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/tcrw",
"TCRZ","THL Credit, Inc.","25.44","n/a","2015","n/a","n/a","https://old.nasdaq.com/symbol/tcrz",
"TRI","Thomson Reuters Corp","66.76","$33.37B","n/a","Consumer Services","Publishing","https://old.nasdaq.com/symbol/tri",
"THO","Thor Industries, Inc.","66.73","$3.68B","n/a","Consumer Non-Durables","Homebuilding","https://old.nasdaq.com/symbol/tho",
"TDW","Tidewater Inc.","17.13","$712.61M","2017","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/tdw",
"TDW.WS.A","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws.a",
"TDW.WS.B","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws.b",
"TIF","Tiffany & Co.","124.69","$15.06B","1987","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/tif",
"TLYS","Tilly&#39;s, Inc.","10.38","$307.01M","2012","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/tlys",
"TSU","TIM Participacoes S.A.","15.28","$7.4B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tsu",
"TKR","Timken Company (The)","52.73","$4.01B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/tkr",
"TMST","TimkenSteel Corporation","6.07","$272.03M","2014","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/tmst",
"TWI","Titan International, Inc.","2.88","$173.28M","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/twi",
"TJX","TJX Companies, Inc. (The)","58.83","$71.12B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/tjx",
"TOL","Toll Brothers, Inc.","39.77","$5.58B","n/a","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/tol",
"TR","Tootsie Roll Industries, Inc.","34.12","$1.35B","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/tr",
"BLD","TopBuild Corp.","109.22","$3.74B","2015","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/bld",
"TTC","Toro Company (The)","77.98","$8.31B","n/a","Capital Goods","Tools/Hardware","https://old.nasdaq.com/symbol/ttc",
"TD","Toronto Dominion Bank (The)","57.84","$105.26B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/td",
"SHLL","Tortoise Acquisition Corp.","9.85","$286.89M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/shll",
"SHLL.U","Tortoise Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/shll.u",
"SHLL.WS","Tortoise Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/shll.ws",
"NDP","Tortoise Energy Independence Fund, Inc.","3.92","$57.89M","2012","n/a","n/a","https://old.nasdaq.com/symbol/ndp",
"TYG","Tortoise Energy Infrastructure Corporation","18.89","$1.01B","2004","n/a","n/a","https://old.nasdaq.com/symbol/tyg",
"TEAF","Tortoise Essential Assets Income Term Fund","16.51","$222.74M","2019","n/a","n/a","https://old.nasdaq.com/symbol/teaf",
"NTG","Tortoise Midstream Energy Fund, Inc.","11.37","$718.7M","2010","n/a","n/a","https://old.nasdaq.com/symbol/ntg",
"TTP","Tortoise Pipeline & Energy Fund, Inc.","12.52","$125.45M","2011","n/a","n/a","https://old.nasdaq.com/symbol/ttp",
"TPZ","Tortoise Power and Energy Infrastructure Fund, Inc","17.05","$118.5M","2009","n/a","n/a","https://old.nasdaq.com/symbol/tpz",
"TOT","Total S.A.","54.29","$141.04B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tot",
"TSQ","Townsquare Media, Inc.","7.81","$148.09M","2014","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/tsq",
"TM","Toyota Motor Corp Ltd Ord","140.37","$199.59B","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/tm",
"TPGH","TPG Pace Holdings Corp.","10.27","$428.8M","2017","Finance","Business Services","https://old.nasdaq.com/symbol/tpgh",
"TPGH.U","TPG Pace Holdings Corp.","n/a","n/a","2017","n/a","n/a","https://old.nasdaq.com/symbol/tpgh.u",
"TPGH.WS","TPG Pace Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tpgh.ws",
"TRTX","TPG RE Finance Trust, Inc.","20.11","$1.49B","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/trtx",
"TSLX","TPG Specialty Lending, Inc.","21.64","$1.43B","2014","n/a","n/a","https://old.nasdaq.com/symbol/tslx",
"TAC","TransAlta Corporation","5.8","$1.64B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/tac",
"TCI","Transcontinental Realty Investors, Inc.","n/a","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/tci",
